"";"inst_all"
"538";"https://openalex.org/I12469534"
"539";"https://openalex.org/I124727415"
"540";"https://openalex.org/I124793430"
"541";"https://openalex.org/I124841900"
"542";"https://openalex.org/I124866261"
"543";"https://openalex.org/I124938932"
"544";"https://openalex.org/I124984720"
"545";"https://openalex.org/I125068653"
"546";"https://openalex.org/I12509574"
"547";"https://openalex.org/I125101497"
"548";"https://openalex.org/I12524447"
"549";"https://openalex.org/I125392429"
"550";"https://openalex.org/I125454184"
"551";"https://openalex.org/I125467818"
"552";"https://openalex.org/I125485651"
"553";"https://openalex.org/I125528314"
"554";"https://openalex.org/I12553626"
"555";"https://openalex.org/I125656591"
"556";"https://openalex.org/I125749732"
"557";"https://openalex.org/I125839683"
"558";"https://openalex.org/I125852741"
"559";"https://openalex.org/I125904092"
"560";"https://openalex.org/I125932930"
"561";"https://openalex.org/I125934054"
"562";"https://openalex.org/I125956826"
"563";"https://openalex.org/I126131087"
"564";"https://openalex.org/I126145234"
"565";"https://openalex.org/I12615008"
"566";"https://openalex.org/I126158947"
"567";"https://openalex.org/I126193024"
"568";"https://openalex.org/I126231945"
"569";"https://openalex.org/I126307644"
"570";"https://openalex.org/I126345244"
"571";"https://openalex.org/I126350171"
"572";"https://openalex.org/I126406834"
"573";"https://openalex.org/I126419327"
"574";"https://openalex.org/I126427551"
"575";"https://openalex.org/I126460647"
"576";"https://openalex.org/I126477371"
"577";"https://openalex.org/I12649496"
"578";"https://openalex.org/I126520041"
"579";"https://openalex.org/I126527374"
"580";"https://openalex.org/I126533617"
"581";"https://openalex.org/I126541806"
"582";"https://openalex.org/I126548940"
"583";"https://openalex.org/I126595936"
"584";"https://openalex.org/I126596746"
"585";"https://openalex.org/I126601174"
"586";"https://openalex.org/I126683464"
"587";"https://openalex.org/I126820664"
"588";"https://openalex.org/I126826664"
"589";"https://openalex.org/I12685407"
"590";"https://openalex.org/I126860399"
"591";"https://openalex.org/I126863827"
"592";"https://openalex.org/I126924076"
"593";"https://openalex.org/I12700597"
"594";"https://openalex.org/I127019355"
"595";"https://openalex.org/I127077003"
"596";"https://openalex.org/I127108677"
"597";"https://openalex.org/I127110123"
"598";"https://openalex.org/I127165138"
"599";"https://openalex.org/I127206278"
"600";"https://openalex.org/I127251866"
"601";"https://openalex.org/I127317711"
"602";"https://openalex.org/I127328727"
"603";"https://openalex.org/I127336678"
"604";"https://openalex.org/I127339247"
"605";"https://openalex.org/I127339705"
"606";"https://openalex.org/I127362389"
"607";"https://openalex.org/I127366699"
"608";"https://openalex.org/I127432735"
"609";"https://openalex.org/I12754707"
"610";"https://openalex.org/I127591826"
"611";"https://openalex.org/I127670440"
"612";"https://openalex.org/I127727965"
"613";"https://openalex.org/I127859547"
"614";"https://openalex.org/I12789410"
"615";"https://openalex.org/I127927624"
"616";"https://openalex.org/I1279696364"
"617";"https://openalex.org/I1279799976"
"618";"https://openalex.org/I1279858714"
"619";"https://openalex.org/I1280179531"
"620";"https://openalex.org/I1280527723"
"621";"https://openalex.org/I1280640908"
"622";"https://openalex.org/I1280822658"
"623";"https://openalex.org/I1281109512"
"624";"https://openalex.org/I1281210470"
"625";"https://openalex.org/I1281260935"
"626";"https://openalex.org/I1281802846"
"627";"https://openalex.org/I1281928559"
"628";"https://openalex.org/I128193699"
"629";"https://openalex.org/I1282368058"
"630";"https://openalex.org/I1282462722"
"631";"https://openalex.org/I1282700336"
"632";"https://openalex.org/I128277893"
"633";"https://openalex.org/I1282927834"
"634";"https://openalex.org/I128309023"
"635";"https://openalex.org/I1283220839"
"636";"https://openalex.org/I12832649"
"637";"https://openalex.org/I1283339181"
"638";"https://openalex.org/I12833781"
"639";"https://openalex.org/I12834331"
"640";"https://openalex.org/I1283442259"
"641";"https://openalex.org/I1283521677"
"642";"https://openalex.org/I1283613182"
"643";"https://openalex.org/I128365640"
"644";"https://openalex.org/I1283664872"
"645";"https://openalex.org/I1284351223"
"646";"https://openalex.org/I1284465020"
"647";"https://openalex.org/I1284584826"
"648";"https://openalex.org/I1284762954"
"649";"https://openalex.org/I1285402005"
"650";"https://openalex.org/I128559575"
"651";"https://openalex.org/I1285782058"
"652";"https://openalex.org/I128589980"
"653";"https://openalex.org/I128590013"
"654";"https://openalex.org/I12859529"
"655";"https://openalex.org/I1285985921"
"656";"https://openalex.org/I1286141780"
"657";"https://openalex.org/I1286329397"
"658";"https://openalex.org/I128643598"
"659";"https://openalex.org/I1286858202"
"660";"https://openalex.org/I12870472"
"661";"https://openalex.org/I1287223417"
"662";"https://openalex.org/I1287339526"
"663";"https://openalex.org/I1287366011"
"664";"https://openalex.org/I1287642686"
"665";"https://openalex.org/I1287762061"
"666";"https://openalex.org/I1288043984"
"667";"https://openalex.org/I1288051870"
"668";"https://openalex.org/I1288059949"
"669";"https://openalex.org/I1288097491"
"670";"https://openalex.org/I1288323106"
"671";"https://openalex.org/I1288970718"
"672";"https://openalex.org/I1289243028"
"673";"https://openalex.org/I128931577"
"674";"https://openalex.org/I1289437631"
"675";"https://openalex.org/I1289490764"
"676";"https://openalex.org/I1289550199"
"677";"https://openalex.org/I128956969"
"678";"https://openalex.org/I1289638682"
"679";"https://openalex.org/I1289910757"
"680";"https://openalex.org/I128993996"
"681";"https://openalex.org/I129043915"
"682";"https://openalex.org/I1290523313"
"683";"https://openalex.org/I1290748110"
"684";"https://openalex.org/I12912129"
"685";"https://openalex.org/I1291453478"
"686";"https://openalex.org/I129162050"
"687";"https://openalex.org/I1291714003"
"688";"https://openalex.org/I1292020679"
"689";"https://openalex.org/I1292404956"
"690";"https://openalex.org/I1292669757"
"691";"https://openalex.org/I1292896151"
"692";"https://openalex.org/I1292974536"
"693";"https://openalex.org/I1293226324"
"694";"https://openalex.org/I1293303778"
"695";"https://openalex.org/I1293456974"
"696";"https://openalex.org/I1293487690"
"697";"https://openalex.org/I1293555014"
"698";"https://openalex.org/I1293811555"
"699";"https://openalex.org/I1294182474"
"700";"https://openalex.org/I1294345657"
"701";"https://openalex.org/I129451853"
"702";"https://openalex.org/I1294671590"
"703";"https://openalex.org/I129488602"
"704";"https://openalex.org/I129496196"
"705";"https://openalex.org/I1294991024"
"706";"https://openalex.org/I1295435021"
"707";"https://openalex.org/I129604602"
"708";"https://openalex.org/I129615261"
"709";"https://openalex.org/I129627893"
"710";"https://openalex.org/I1296452710"
"711";"https://openalex.org/I1296725772"
"712";"https://openalex.org/I1296990705"
"713";"https://openalex.org/I1297288678"
"714";"https://openalex.org/I1297363086"
"715";"https://openalex.org/I1297460800"
"716";"https://openalex.org/I129774422"
"717";"https://openalex.org/I1297991670"
"718";"https://openalex.org/I129801699"
"719";"https://openalex.org/I129826125"
"720";"https://openalex.org/I1298342388"
"721";"https://openalex.org/I1298354342"
"722";"https://openalex.org/I129858807"
"723";"https://openalex.org/I1298633626"
"724";"https://openalex.org/I1298723799"
"725";"https://openalex.org/I129877168"
"726";"https://openalex.org/I129902397"
"727";"https://openalex.org/I1299170990"
"728";"https://openalex.org/I1299907687"
"729";"https://openalex.org/I129994210"
"730";"https://openalex.org/I1300065529"
"731";"https://openalex.org/I130009713"
"732";"https://openalex.org/I1300393620"
"733";"https://openalex.org/I130054616"
"734";"https://openalex.org/I1300976906"
"735";"https://openalex.org/I130137553"
"736";"https://openalex.org/I130154697"
"737";"https://openalex.org/I1301669915"
"738";"https://openalex.org/I1301844980"
"739";"https://openalex.org/I130186095"
"740";"https://openalex.org/I130194489"
"741";"https://openalex.org/I1301991143"
"742";"https://openalex.org/I130217899"
"743";"https://openalex.org/I130218214"
"744";"https://openalex.org/I1302269238"
"745";"https://openalex.org/I130238516"
"746";"https://openalex.org/I1302404375"
"747";"https://openalex.org/I1302485747"
"748";"https://openalex.org/I1302839792"
"749";"https://openalex.org/I130291710"
"750";"https://openalex.org/I130294970"
"751";"https://openalex.org/I1302991022"
"752";"https://openalex.org/I1303077703"
"753";"https://openalex.org/I130309236"
"754";"https://openalex.org/I130343225"
"755";"https://openalex.org/I1304256225"
"756";"https://openalex.org/I130438778"
"757";"https://openalex.org/I130442723"
"758";"https://openalex.org/I1304442876"
"759";"https://openalex.org/I130480701"
"760";"https://openalex.org/I130510345"
"761";"https://openalex.org/I1305126327"
"762";"https://openalex.org/I130541836"
"763";"https://openalex.org/I1305577998"
"764";"https://openalex.org/I1305695959"
"765";"https://openalex.org/I1306291479"
"766";"https://openalex.org/I1306409833"
"767";"https://openalex.org/I130653702"
"768";"https://openalex.org/I130654763"
"769";"https://openalex.org/I1306567688"
"770";"https://openalex.org/I1306601404"
