University_en;University;University_abbr;List;Anaesthesia, Emergency and Intensive Care;Anthropology;Applied geology, petroleum science and engineering;Archaeology and Conservation;Architecture and Design;Art History;Asian and African Studies;Biology;Biomedicine;Biotechnology;Business and Finance;Cardiovascular and Respiratory Systems;Chemical Engineering;Chemistry;Civil Engineering;Classical Studies;Computer Science and Informatics;Dance;Dentistry;Dermatology and Venerology;Development Studies;Earth sciences;Economics;Education and Educational Research;Electric power engineering;Electronics and cybernetics;Endocrinology;Energy;English Studies;Environmental technology and industrial ecology;Ethnology;Gastroenterology and Hepatology;Gender Studies;General Medicine;General Technology;Geography;Geriatrics;Germanic Studies;Gynecology and Obstetrics;Haematology;History;Industrial engineering and management;Infectious Diseases;Interdisciplinary Humanities;Interdisciplinary Natural Sciences;Interdisciplinary Social Sciences;Interdisciplinary Technology;Law;Library and Information Science;Linguistics ;Literature;Marine Technology;Materials Science and Engineering;Mathematics;Mechanical engineering;Media and Communication;Musicology;Nephrology;Neurology;Nursing;Nutrition;Oncology;Ophthalmology;Otorhinolaryngology;Pediatrics;Pharmacology and Toxicology;Philosophy and History of Ideas;Physics;Political Science;Psychiatry;Psychology;Public, Environmental and Occupational Health;Radiology, Nuclear Medicine and Medical Imaging;Rheumatology;Romance Studies;Scandinavian Studies;Slavonic Studies;Social Work;Sociology;Sport Sciences;Surgical Sciences;Theatre and Drama;Theology and religion;Veterinary Medicine
Tomsk Polytechnic University;Томский политехнический университет;ТПУ;NPI1;0;0;29;1;0;0;0;68;101;17;27;7;160;394;24;0;60;0;0;0;0;598;5;38;49;111;2;212;2;24;0;0;0;15;62;7;0;0;3;0;6;1;2;0;125;21;59;0;8;6;2;4;722;88;60;0;0;0;10;0;0;16;1;0;0;65;3;785;3;9;1;9;7;0;0;0;0;1;4;25;0;0;0;2
Moscow Institute of Physics and Technology;Московский Физико-Технический институт;МФТИ;NPI1;1;0;3;1;0;0;0;299;328;24;9;8;44;503;26;0;136;0;0;2;0;159;4;16;38;308;4;72;0;4;0;1;0;14;60;0;12;0;16;2;2;0;7;0;244;11;33;0;35;2;0;10;469;788;27;0;0;0;45;0;2;32;6;2;0;75;6;1635;0;0;12;17;10;0;0;0;0;2;5;3;5;0;0;2
HSE University;Высшая школа экономики;ВШЭ;NPI1;1;54;5;8;1;2;20;114;128;11;579;13;13;230;17;28;183;0;1;0;24;87;291;232;21;146;5;25;4;7;12;0;7;38;49;95;3;0;5;0;156;16;6;47;226;107;48;32;92;80;11;2;151;967;21;48;0;1;128;2;2;8;13;0;1;22;186;717;437;28;418;81;3;0;1;2;169;26;205;15;0;1;58;0
ITMO University;Университет ИТМО;ИТМО;NPI1;0;3;0;3;0;0;0;147;118;38;27;20;51;423;8;0;135;0;1;0;1;24;2;11;19;364;2;32;0;3;1;0;0;9;140;3;0;0;2;2;2;3;3;2;116;6;38;0;22;0;0;1;493;106;20;4;0;0;8;0;6;11;3;2;0;41;3;626;5;1;7;9;19;0;0;0;1;6;6;0;1;0;0;1
Southern Federal University;Южный федеральный университет;ЮФУ;NPI1;0;1;2;11;2;1;0;181;52;12;49;1;40;553;30;0;47;0;0;0;0;136;8;28;5;138;1;34;0;18;0;0;0;5;8;17;0;0;5;0;20;1;2;1;78;45;18;0;3;8;0;9;360;179;36;8;0;0;22;0;0;2;0;0;0;67;15;311;11;0;35;3;4;0;0;0;6;0;17;7;1;0;5;2
Sechenov First Moscow State Medical University;Сеченовский университет;Сеченовский университет;NPI1;9;1;2;0;0;0;0;586;1323;67;41;415;60;353;5;0;28;0;116;34;0;34;5;123;5;41;110;11;0;7;0;43;2;718;15;1;9;0;321;40;31;2;71;1;316;8;16;19;7;32;3;1;325;106;27;3;0;30;461;5;52;402;12;13;42;515;4;126;3;70;104;334;51;48;0;0;1;54;4;72;312;0;4;14
MISIS University;Национальный исследовательский технологический университет МИСиС;НИТУ МИСиС;NPI1;0;1;9;0;0;0;0;54;57;30;21;0;162;415;8;0;17;0;0;1;0;65;1;9;22;155;0;53;0;15;0;0;0;4;127;5;0;0;0;0;1;3;0;0;101;4;21;0;16;3;0;0;1781;56;22;1;0;0;4;0;0;4;0;1;1;23;1;551;1;0;0;1;5;0;0;0;0;0;0;0;1;0;1;0
Lobachevsky State University of Nizhni Novgorod;Нижегородский государственный университет имени Н. И. Лобачевского;ННГУ им.Лобачевского;NPI1;0;0;1;0;0;0;0;150;122;7;8;4;48;369;12;0;22;0;0;0;0;55;10;24;15;101;5;49;0;4;0;0;1;51;14;6;24;0;0;1;35;0;2;2;72;28;10;0;26;2;0;2;252;233;14;0;0;0;23;0;8;16;0;0;1;22;7;541;7;5;9;8;5;1;0;0;3;2;9;16;1;0;1;0
RUDN University;Российский университет дружбы народов имени Патриса Лумумбы;РУДН им.Патриса Лумумбы;NPI1;0;1;6;1;1;1;2;365;297;23;122;77;111;744;23;1;87;0;24;3;2;140;20;94;5;56;8;25;0;22;0;1;1;110;20;15;3;0;63;1;145;0;18;22;154;61;37;7;22;82;1;8;134;728;26;15;0;5;80;0;10;44;0;1;3;123;77;196;26;7;19;70;1;2;1;2;12;17;6;11;25;0;16;38
Bauman Moscow State Technical University;Московский государственный технический университет им. Н. Э. Баумана;МГТУ им.Баумана;NPI1;0;2;73;1;2;0;0;37;68;5;26;2;35;200;32;0;36;0;0;0;0;50;2;21;6;161;0;79;0;1;0;0;0;4;85;4;0;0;0;0;26;0;0;1;52;7;16;0;5;11;0;7;340;227;39;0;0;0;2;0;0;0;1;0;0;2;10;315;3;0;3;1;5;0;0;0;0;0;0;1;1;0;3;0
